22,Fruit Cup Medium,2.75,{'Mixed fruits': 0.25}
23,Fruit Cup Large,4.25,{'Mixed fruits': 0.5}
24,Chicken Soup,2.65,{'Chicken noodle soup': 1}
25,Waffle Potato Fries - Small,1.55,{'Waffle Fries': 0.125}
26,Waffle Potato Fries - Medium,1.65,{'Waffle Fries': 0.25}
27,Waffle Potato Fries - Large,1.85,{'Waffle Fries': 0.5}
28,Chick-n-Minis,4.99,"{'Chicken nuggets': 4, 'Yeast roll': 4}"
29,Hash Browns,1.69,{'Hash Brown': 0.125}
30,Chicken Biscuit,2.26,{'Buttermilk biscuit': 1}
31,Spicy Chicken Biscuit,2.5,{'Buttermilk biscuit': 1}
32,Hash Brown Scramble Bowl,5.59,"{'Chicken nuggets': 4, 'Hash Brown': 0.125, 'Egg': 1, 'Cheddar Cheese': 0.05, 'Jalapeno salsa': 1}"
33,Hash Brown Scramble Burrito,5.59,"{'Chicken nuggets': 4, 'Hash Brown': 0.125, 'Egg': 1, 'Cheddar Cheese': 0.05, 'Jalapeno salsa': 1, 'Tortilla': 1}"
34,"Chicken, Egg, & Cheese Biscuit",4.99,"{'Buttermilk biscuit': 1, 'Chicken Breast': 1, 'Peanut Oil': 0.03125, 'Egg': 1, 'American Cheese': 1}"
35,Breakfast Filets,2.19,{'Filet': 1}
36,Buttered Biscuit,1.59,"{'Buttermilk biscuit': 1, 'Butter': 0.0325}"
37,Egg White Grill,3.64,"{'English muffin': 1, 'Egg': 1, 'American Cheese': 1}"
38,"Bacon, Egg, & Cheese Biscuit",4.35,"{'Buttermilk biscuit': 1, 'Bacon': 0.125, 'Peanut Oil': 0.03125, 'Egg': 1, 'American Cheese': 1}"
39,English Muffin,1.95,{'English muffin': 1}
40,"Sausage, Egg, & Cheese Biscuit",4.65,"{'Buttermilk biscuit': 1, 'Sausage': 1, 'Peanut Oil': 0.03125, 'Egg': 1, 'American Cheese': 1}"
41,"Chicken, Egg, & Cheese Muffin",5.29,"{'English muffin': 1, 'Chicken Breast': 1, 'Peanut Oil': 0.03125, 'Egg': 1, 'American Cheese': 1}"
42,"Bacon, Egg, & Cheese Muffin",4.65,"{'English muffin': 1, 'Bacon': 0.125, 'Peanut Oil': 0.03125, 'Egg': 1, 'American Cheese': 1}"
43,Kale Crunch,2.79,{'Kale crunch': 1}
44,Waffle Potato Chips,2.59,{'Waffle potato chips': 1}
45,Buddy Fruits Apple Sauce,2.85,{'Apple sauce': 1}
46,Coca-Cola,2.45,{'Coca-cola': 0.125}
47,Diet Coke,2.45,{'Diet coke': 0.125}
48,Dr Pepper,2.45,{'Dr Pepper': 0.125}
49,Iced Coffee,3.85,{'Iced coffee': 0.125}
50,Sprite,2.45,{'Sprite': 0.125}
51,Freshly Brewed Iced Tea Sweetened,2.45,{'Iced-tea sweetened': 0.125}
52,Gallon Beverage,15.59,{'Gallon beverage': 1}
53,Simply Orange,3.59,{'Simply orange': 0.125}
54,Lemonade,2.89,{'Lemonade': 0.125}
55,Diet Lemonade,2.89,{'Diet lemonade': 0.125}
56,Freshly Brewed Iced Tea Unsweetened,2.45,{'Iced-tea unsweetened': 0.125}
57,"Sunjoy (1/2 Sweet Tea, 1/2 Lemonade)",2.89,"{'Iced-tea sweetened': 0.125, 'Lemonade': 0.125}"
58,"Sunjoy (1/2 Sweet Tea, 1/2 Diet Lemonade)",2.89,"{'Iced-tea sweetened': 0.125, 'Diet lemonade': 0.125}"
59,"1/2 Sweet Tea, 1/2 Unsweet Tea",2.45,"{'Iced-tea sweetened': 0.125, 'Iced-tea unsweetened': 0.125}"
60,1% Chocolate Milk,1.99,{'Chocolate milk': 0.125}
61,Honest Kids Apple Juice,1.99,{'Honest Kids Apple Juice': 1}
62,"Sunjoy (1/2 Unsweet Tea, 1/2 Diet Lemonade)",2.89,"{'Iced-tea unsweetened': 0.125, 'Diet lemonade': 0.125}"
63,"Sunjoy (1/2 Unsweet Tea, 1/2 Lemonade)",2.89,"{'Iced-tea unsweetened': 0.125, 'Lemonade': 0.125}"
64,"1/2 Lemonade, 1/2 Diet Lemonade",2.89,"{'Diet lemonade': 0.125, 'Lemonade': 0.125}"
65,Dasani Bottled Water,2.59,{'Dasani Bottled water': 1}
66,Cobb Salad,11.69,{'Cobb salad': 1}
67,Spicy Southwest Salad,11.95,{'Southwest salad': 1}
68,Grilled Market Salad,7.19,{'Market salad': 1}
69,Grilled Market Salad w/ Chick-fil-A Filet,8.19,"{'Market salad': 1, 'Filet': 1}"
70,Grilled Market Salad w/ Chick-n-Strips,8.19,"{'Market salad': 1, 'Chicken strips': 1}"
71,Grilled Market Salad w/ Grilled Filet,8.19,"{'Market salad': 1, 'Filet': 1}"
72,Grilled Market Salad w/ Grilled Nuggets,8.19,"{'Market salad': 1, 'Chicken nuggets': 1}"
73,Grilled Market Salad w/ Nuggets,8.19,"{'Market salad': 1, 'Chicken nuggets': 1}"
74,Grilled Market Salad w/ Spicy Filet,8.19,"{'Market salad': 1, 'Filet': 1}"
75,Grilled Market Salad w/ Spicy Grilled Filet,8.19,"{'Market salad': 1, 'Filet': 1}"
76,Frosted Coffee,5.05,{'Frosted coffee': 0.125}
77,Cookies & Cream Milkshake,5.19,{'Cookies and Cream milkshake': 0.125}
78,Chocolate Fudge Brownie,2.59,{'Chocolate fudge brownie': 1}
79,Chocolate Chunk Cookie,1.89,{'Chocolate chunk cookie': 1}
80,Strawberry Milkshake,5.19,{'Strawberry milkshake': 0.125}
81,Autumn Spice Milkshake,5.59,{'Autumn spice milkshake': 0.125}
82,Frosted Lemonade,5.05,{'Lemonade': 0.125}
83,Chocolate Milkshake,5.19,{'Chocolate milkshake': 0.125}
84,Vanilla Milkshake,5.19,{'Vanilla milkshake': 0.125}
85,Nuggets - 4 Pc.,3.75,{'Chicken nuggets': 4}
86,Nuggets - 6 Pc.,4.65,{'Chicken nuggets': 6}
87,Chick-n-Strips 1 Pc.,3.05,{'Chicken strips': 1}
88,Chick-n-Strips 2 Pc.,4.09,{'Chicken strips': 2}
